idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
0,0x7F76415e70aB9d91b99F6554B12193863D481D7F,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x5c5de66Dbf683B1aad8CA2D95971b5DC8E342e8C,0,0,0.00
0,0x7F76415e70aB9d91b99F6554B12193863D481D7F,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x672e93fBf29ED3a4E56fdA99716285ec439C2aB4,0,0,0.00
1,0xee8B6d9A0B41A9DBDa3bD2D19afE17e4B99774b6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xfe78994b3425c61E9Ec73a53A1E40A4FA81cC664,0,0,NaN
1,0xee8B6d9A0B41A9DBDa3bD2D19afE17e4B99774b6,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE05B63CbB5111F40Ec1a06e7aAAd26729a8C6a8A,0,0,NaN
2,0x558F6cDCcec241959Ad1a892471d2F7D3979335E,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x49e0a83C03B214C4524aAD4A6Aa4036bCfB3BDC2,0,0,NaN
2,0x558F6cDCcec241959Ad1a892471d2F7D3979335E,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,0x1f3Dc07592FbB9f0da287739e3A16Fe925fa8Ac6,0,0,NaN
3,0x17a6d85E2F3C270e486e121BBe12364816dC7412,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xc9474A108505C54DF44292C24AdF27819769bc05,0,0,NaN
3,0x17a6d85E2F3C270e486e121BBe12364816dC7412,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0x968d83e26353687730693D195Af452571cfB4f9B,0,0,NaN
4,0xbC41A177773b1DD31f7205aae3eb1d693B447FB5,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xB9a18BA0E7f3452d1d4f2fA852c503a3Dee944eD,1296,0,0.00
4,0xbC41A177773b1DD31f7205aae3eb1d693B447FB5,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x71c8530B8e452501a34e01c2Cd4364eA9B628e01,64,1,1.03
5,0x889401A4a126B9423A1f76a94A92D1c6B2AA09b3,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xd58E255767b04519F82161528198bE1cC366769E,2,0,0.05
5,0x889401A4a126B9423A1f76a94A92D1c6B2AA09b3,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x16215659F550E5d43a711c656950fE6395989D43,10070,0,0.00
6,0x2C1206437Adc091F0e00c1b64e42Ec77f0171344,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x0F645656Fe208586041871649875870567f6C46C,11393,0,0.00
